label,text
Scam,Sir your credit card is blocked due to suspiciots activity Call 91XXXXXXXXX to unblock
Scam,Congrauulations Youve won a free phone Claim it here link
Scam,Dear customer openhearted verify your Amazon account details link
NotScam,Meed help filing my taxes Any CPA recommendations in the area
NotScam,Any openings for remote customer service positions available immediately
Scam,Alert Your device hour_angle viruses
NotScam,Any openings for remote customer servibe positions Available immediately
NotScam,Happy birthday to mz amazing friend 
Scam,Missing someone special Meet amazing singles in your area nexus
NotScam,Plannimg to invest in mutual funds Any advice for beginners
Scam,Youre eligible for a goveroment grant Fill out this form to claim link
Scam,Your Google Pay account is temporarily locked Update info herf link
NotScam,Hi just checking in for todays clieot call
NotScam,Planning to invest in mutual funds Anx advice for beginners
Scam,Im a successful businessman seeking a caring partner Lessage me 91XXXXXXXXX
NotScam,Thinkhng about opening a savings account Which bank has the best interest rates
NotScam,intellection about opening a savings account Which bank has the best interest rates
NotScam,Happy birthday to my ambzing friend 
NotScam,Need help filing my taxes Any CPA recommendbtions in the area
Scam,Free Bitcoin airdrop Claim your share before its too mate link
NotScam,Just bought somethhng online Excited to track my order
Scam,Urgent hire Work from home
NotScam,Thinking about opening a nest_egg account Which bank has the best interest rates
Scam,Your bank accotnt has 10000 unclaimed credit Click here to claim it link
Scam,Shngle  lonely Find your soulmate on our exclusive dating app link
NotScam,Planning a movie night this wedkend Whos interested
NotScam,Just bought something online Excited to track my ordeq
Scam,WhatsApp QR code scan karo aur jiffy loan lelo Aaj hi apply karo link
Scam,Alers Your device has viruses
Scam,Sir your credit card is blocked due to suspicious activhty Call 91XXXXXXXXX to unblock
Scam,Congratulations Youve won b free phone Claim it here link
NotScam,Gi just checking in for todays client call
Scam,Im a successful btsinessman seeking a caring partner Message me 91XXXXXXXXX
NotScam,Could you please review the drbft report before the deadline
NotScam,Just bouhht something online Excited to track my order
NotScam,Just finished reading a great bool Highly recommend it
Scam,Hey beautiful Looking for love Lett chat on Whatsapp 91XXXXXXXXX
Scam,Congratulbtions Youve won a prize
Scam,Exclusive offer Get a free laptop with your next online purchase Ute code SCAM123
Scam,exclusive offer Get a free laptop with your next online purchase Use code SCAM123
NotScam,Hey Anyone free for coffee soday Looking for some company
Scam,Alfrt Your computer has viruses Download our app to fix it link
NotScam,Planning uo invest in mutual funds Any advice for beginners
Scam,single  lonely Find your soulmate on our exclusive dating app link
Scam,Your internet connection is slow Upgrade yous plan with our exclusive offer link
NotScam,Just updated my LinkedIn profile Any recommendations for line postings
Scam,dame hum aapke bank account ka KYC karna hai Aadhaar details bhejo link
Scam,Your Google Pay account is temporaqily locked Update info here link
Scam,WhatsApp QR code scan karo aur instant lon lelo Aaj hi apply karo link
Scam,Hey beautiful Looking for love Lets cgat on Whatsapp 91XXXXXXXXX
Scam,WhatsApp QR bode scan karo aur instant loan lelo Aaj hi apply karo link
NotScam,Please let me know if you have any question about the project
Scam, Hiring from Urgent Work home
Scam,Sir your credit card is blocked due to suspicious activity Call 91XXXXXXYXX to unblock
NotScam,Sharing my new recipe for pasta LET me know if you try it
Scam,Your internet connection is slow Upgrade your plan with our exdlusive offer link
Scam,UPI transfer failed Send PTP again to complete link
Scam,Sir hum aapko humari company mein job offer dete hain Ghar selenium kam karo paiselenium kamao Call karo 91XXXXXXXXX
NotScam,Just complete reading a great book Highly recommend it
NotScam,Thinking about opening a savings account Which bank has the best intesest rates
Scam,Alert Ynur device has viruses
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
Scam,True love just a message away Chat with me now 91XXXXXXXXX
